step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ,layer_3_NZ
0,2260,2260,0.0,0.126,0.000000e+00,1.775099e-03,0.8395,0.8722,2,1,0,1960,100,99,100
1,2259,2260,0.000442,0.126,0.000000e+00,2.212604e-04,0.2475,0.0969,2,1,1,1960,100,98,100
2,2258,2260,0.000885,0.126,0.000000e+00,4.803832e-03,0.2478,0.0868,2,1,3,1960,100,97,100
3,2257,2260,0.001327,0.126,0.000000e+00,1.707429e-03,0.2453,0.086,2,1,4,1960,100,96,100
4,2256,2260,0.00177,0.126,0.000000e+00,5.676292e-03,0.2458,0.0903,2,1,5,1960,100,95,100
5,2255,2260,0.002212,0.126,0.000000e+00,6.157237e-03,0.2394,0.0916,2,1,6,1960,100,94,100
6,2254,2260,0.002655,0.126,0.000000e+00,9.789352e-03,0.2445,0.09,2,1,2,1960,100,93,100
7,2253,2260,0.003097,0.126,0.000000e+00,2.338012e-03,0.2575,0.0904,2,1,7,1960,100,92,100
8,2252,2260,0.00354,0.126,0.000000e+00,1.125264e-03,0.2643,0.0924,2,1,8,1960,100,91,100
9,2251,2260,0.003982,0.126,0.000000e+00,5.416280e-03,0.2558,0.0888,2,1,9,1960,100,90,100
10,2250,2260,0.004425,0.126,0.000000e+00,6.629845e-04,0.2562,0.0927,2,5,0,1960,100,89,100
11,2249,2260,0.004867,0.126,0.000000e+00,7.680897e-03,0.2556,0.0908,2,5,1,1960,100,88,100
12,2248,2260,0.00531,0.126,0.000000e+00,5.510096e-03,0.2507,0.0918,2,5,2,1960,100,87,100
13,2247,2260,0.005752,0.126,0.000000e+00,1.797625e-03,0.2523,0.0907,2,5,3,1960,100,86,100
14,2246,2260,0.006195,0.126,0.000000e+00,1.056505e-03,0.2406,0.0908,2,5,4,1960,100,85,100
15,2245,2260,0.006637,0.126,0.000000e+00,5.350004e-04,0.2425,0.0935,2,5,5,1960,100,84,100
16,2244,2260,0.00708,0.126,0.000000e+00,1.107448e-03,0.2439,0.0906,2,5,6,1960,100,83,100
17,2243,2260,0.007522,0.126,0.000000e+00,1.360085e-02,0.2427,0.0896,2,5,7,1960,100,82,100
18,2242,2260,0.007965,0.126,0.000000e+00,6.701704e-03,0.239,0.0882,2,5,8,1960,100,81,100
19,2241,2260,0.008407,0.126,0.000000e+00,5.942786e-03,0.2448,0.0909,2,5,9,1960,100,80,100
20,2240,2260,0.00885,0.126,0.000000e+00,9.421260e-03,0.2471,0.0901,2,6,4,1960,100,79,100
21,2239,2260,0.009292,0.126,0.000000e+00,6.279648e-03,0.2472,0.093,2,6,6,1960,100,78,100
22,2238,2260,0.009735,0.126,0.000000e+00,9.098536e-03,0.2449,0.0915,2,6,8,1960,100,77,100
23,2237,2260,0.010177,0.126,0.000000e+00,9.438110e-03,0.246,0.0906,3,0,1,1960,100,77,99
24,2236,2260,0.010619,0.126,0.000000e+00,5.452879e-04,0.2486,0.0906,3,0,5,1960,100,77,98
25,2235,2260,0.011062,0.126,0.000000e+00,1.655243e-02,0.2497,0.0911,3,1,1,1960,100,77,97
26,2234,2260,0.011504,0.126,0.000000e+00,1.395499e-02,0.2417,0.0899,3,1,5,1960,100,77,96
27,2233,2260,0.011947,0.126,0.000000e+00,4.186070e-03,0.2471,0.0897,3,2,1,1960,100,77,95
28,2232,2260,0.012389,0.126,0.000000e+00,1.538680e-03,0.2457,0.0915,3,2,5,1960,100,77,94
29,2231,2260,0.012832,0.126,0.000000e+00,1.101666e-02,0.2476,0.0883,3,3,1,1960,100,77,93
30,2230,2260,0.013274,0.126,0.000000e+00,6.179983e-03,0.2487,0.0921,3,3,5,1960,100,77,92
31,2229,2260,0.013717,0.126,0.000000e+00,1.081080e-02,0.2513,0.0907,3,4,1,1960,100,77,91
32,2228,2260,0.014159,0.126,0.000000e+00,2.032229e-03,0.2639,0.0928,3,4,5,1960,100,77,90
33,2227,2260,0.014602,0.126,0.000000e+00,1.472192e-02,0.261,0.0911,3,5,1,1960,100,77,89
